id,name,pComicId,totalPage,totalView,thumbnail,createdAt
sasamori_tomoe_4,One Shot,sasamori_tomoe_4,82,1,https://m2.hentairox.com/008/dpm6wr349h/cover.jpg,2020-01-01
shinozuka_yuuji_1,One Shot,shinozuka_yuuji_1,213,1,https://m5.hentairox.com/017/1074swzle9/cover.jpg,2020-01-01
shinozuka_yuuji_2,One Shot,shinozuka_yuuji_2,237,1,https://m4.hentairox.com/014/wtqf214l3r/cover.jpg,2020-01-01
shinozuka_yuuji_3,One Shot,shinozuka_yuuji_3,33,1,https://m3.hentairox.com/012/yz213j7q5r/cover.jpg,2020-01-01
takasugi_kou_1,One Shot,takasugi_kou_1,222,1,https://i.hentaifox.com/001/750511/cover.jpg,2020-01-01
takasugi_kou_2,One Shot,takasugi_kou_2,217,1,https://i.hentaifox.com/003/1792175/cover.jpg,2020-01-01
takasugi_kou_3,One Shot,takasugi_kou_3,201,1,https://i.hentaifox.com/002/885547/cover.jpg,2020-01-01
takasugi_kou_4,One Shot,takasugi_kou_4,209,1,https://m2.hentairox.com/008/l5soir4wd6/cover.jpg,2020-01-01
takasugi_kou_5,One Shot,takasugi_kou_5,207,1,https://i.hentaifox.com/001/568386/cover.jpg,2020-01-01
takasugi_kou_6,One Shot,takasugi_kou_6,196,1,https://i.hentaifox.com/002/980350/cover.jpg,2020-01-01
takasugi_kou_7,One Shot,takasugi_kou_7,190,1,https://i.hentaifox.com/001/421249/cover.jpg,2020-01-01
takasugi_kou_8,One Shot,takasugi_kou_8,205,1,https://i2.hentaifox.com/002/1227966/cover.jpg,2020-01-01
takeda_hiromitsu_1,One Shot,takeda_hiromitsu_1,257,1,https://m6.hentairox.com/021/hs76dr4ptf/cover.jpg,2020-01-01
takeda_hiromitsu_2,One Shot,takeda_hiromitsu_2,216,1,https://i2.hentaifox.com/004/2368064/thumb.jpg,2020-01-01
takeda_hiromitsu_3,One Shot,takeda_hiromitsu_3,238,1,https://i.hentaifox.com/002/1501788/cover.jpg,2020-01-01
utu_1,One Shot,utu_1,187,1,https://m5.hentairox.com/019/134rbfihyq/thumb.jpg,2020-01-01
utu_2,One Shot,utu_2,184,1,https://m3.hentairox.com/012/lamy8p4fzv/thumb.jpg,2020-01-01
utu_3,One Shot,utu_3,230,1,https://m7.hentairox.com/022/i8oxsjp9wf/thumb.jpg,2020-01-01
utu_4,One Shot,utu_4,167,1,https://m6.hentairox.com/022/owg9d4sfx8/cover.jpg,2020-01-01
yamatogawa_1,One Shot,yamatogawa_1,224,1,https://m7.hentairox.com/023/3rvldjq0na/cover.jpg,2020-01-01
yamatogawa_2,One Shot,yamatogawa_2,215,1,https://m6.hentairox.com/020/dpb67kmf4r/cover.jpg,2020-01-01
yamatogawa_3,One Shot,yamatogawa_3,212,1,https://m7.hentairox.com/023/9cf1xea3vk/cover.jpg,2020-01-01
yamatogawa_4,One Shot,yamatogawa_4,220,1,https://i2.hentaifox.com/001/341776/cover.jpg,2020-01-01
